FirstName,LastName,Title,CompanyName,PersonalLinkdin,website,CompanyLinkdin,InvestorCity,InvestorState,Investor'sCountry,FundHQ,NumLeadInvestment,TotalNumberOfInvestment,RecentInvestments,Stages,Sectors
Philip,Pollak,Principal CEO,Summit,http://www.linkedin.com/in/philip-pollak-3b3a0b181,https://summitpartners.com,http://www.linkedin.com/company/summit-partners,New York,New York,United States,United States,155,448,"Dreampath Diagnostics, Quorso, Ris Rx, Instrumentl, Manychat","Debt,Early Stage Venture,Grant,Late Stage Venture,Private Equity,Seed,Venture","E-Commerce,SaaS,Software"
Ben,Lambert,Partner,Pelion Venture,http://www.linkedin.com/in/benclambert,https://pelionvp.com,http://www.linkedin.com/company/pelion-venture-partners,Salt Lake City,Utah,United States,United States,77,240,"CodeRabbit, Honey Health, Vector, Kapital, Coco","Debt,Early Stage Venture,Late Stage Venture,Seed","FinTech,Information Technology,Software"
Charles,Santoro,Managing Partner and Founder,Sterling Investment,http://www.linkedin.com/in/olivia-santoro-096131a9,https://sterlinglp.com,http://www.linkedin.com/company/sterling-investment-partners,New York,New York,United States,United States,5,7,"Banner Industries, Mr Greens Produce, Marcone Supply",Private Equity,"Automotive,Industrial,Machinery Manufacturing"
Robert,Cruesh,Founder,FdG Associates,http://www.linkedin.com/in/robert-cruesh-4b42b224b,https://fdgassociates.com,http://www.linkedin.com/company/fdg-associates,Sacramento,California,United States,United States,1,2,"The James Law Firm, River Ranch Fresh Foods",Private Equity,
Fady,Yacoub,Co-Founder / Partner,HOF Capital,http://www.linkedin.com/in/fadyyacoub,https://hofcapital.com,http://www.linkedin.com/company/hof-capital,New York,New York,United States,United States,18,134,"Invisible Technologies, Motion, Cassidy, Commonwealth Fusion Systems, Basic Capital","Early Stage Venture,Initial Coin Offering,Late Stage Venture,Seed,Series A,Series B,Series C,Venture","Artificial Intelligence,FinTech,Financial Services"
Jen,Mumford,Partner,Andreessen Horowitz,http://www.linkedin.com/in/jennifermumford,https://a16z.com,http://www.linkedin.com/company/a16z,New York,New York,United States,United States,787,1756,"howie, Vibranium Labs, Airbuds Widget, Apex, TENEX.AI","Early Stage Venture,Late Stage Venture,Seed,Series A,Series B,Series C,Series D","AI,Information Technology,Software"
Alexandra,Nicoletti,Partner,Camber Creek,http://www.linkedin.com/in/alexandra-nicoletti-a205ab11,https://cambercreek.com,http://www.linkedin.com/company/camber-creek,Washington,District of Columbia,United States,United States,20,73,"Flyhomes, TwinKnowledge, Jones, SERHANT., Ren Systems","Early Stage Venture,Late Stage Venture,Seed,Venture","Property Management,Real Estate,Software"
Carolyn,Fiuza,Managing Director – Head of North America Business Development,Vision Ridge,http://www.linkedin.com/in/carolynrothfiuza,https://vision-ridge.com,http://www.linkedin.com/company/vision-ridge-partners-llc,New York,New York,United States,United States,8,36,"VEMO, Terawatt Infrastructure, Highland Electric Transportation","Early Stage Venture,Late Stage Venture,Private Equity","Energy,Renewable Energy,Solar"
Clifton,Phillips,Managing Partner,ICV,http://www.linkedin.com/in/clifton-phillips-2a9504167,https://icvpartners.com,http://www.linkedin.com/company/icv-capital-partners-llc,Memphis,Tennessee,United States,United States,6,9,"Beacon Global Strategies, Mintz Group, JK&T Wings, Horizon Air Freight, Claroty","Early Stage Venture,Private Equity","Cyber Security,Politics,Security"
Cherrill,Farnsworth,Operating Partner,WindRose Health Investors,http://www.linkedin.com/in/cherrill-farnsworth-b407941a6,https://windrose.com,http://www.linkedin.com/company/windrose-health-investors,Houston,Texas,United States,United States,19,27,"Soleo Health, MyndYou, Healthmap Solutions, ThirdWaveRx, Lykan BioScience","Early Stage Venture,Private Equity,Secondary Market","Biotechnology,Health Care,Medical"
Jason,Calacanis,Founder,LAUNCH,,https://launch.co,http://www.linkedin.com/company/launch-calacanis,San Francisco,California,United States,United States,177,604,"PitchPrfct, Ithy, Nextvisit AI, Treasure, Millet AI","Convertible Note,Early Stage Venture,Seed","AI,SaaS,Software"
Teddy,Schiff,Partner,Northwood Ventures,http://www.linkedin.com/in/teddyschiff,https://northwoodventures.com,http://www.linkedin.com/company/northwood-ventures-llc,Greenwich,Connecticut,United States,United States,10,88,"Seegrid, MojoTech, Detail K2, Aci Asphalt & Concrete, Energy Transport Logistics","Late Stage Venture,Private Equity,Venture","Logistics,Manufacturing,Telecommunications"
Michael,Dolbec,Managing Partner,Momenta,http://www.linkedin.com/in/michaeldolbec,https://momenta.one,http://www.linkedin.com/company/momentavc,Menlo Park,California,United States,Switzerland,36,73,"EchoLiner, AICA SA, NODE Robotics, Eigen Innovations, Phantasma Labs","Seed,Series A,Venture","AI,Information Technology,Software"
William,Zeng,Partner,Quantonation,http://www.linkedin.com/in/zengwill,https://quantonation.com,http://www.linkedin.com/company/quantonation,New York,New York,United States,France,23,47,"Diraq, Qunnect, Project 11, Multiverse Computing, Quobly","Early Stage Venture,Seed,Venture","Information Technology,Quantum Computing,Software"
Augustus,Loi,Founder; Business Development Lead,Engie Factory,http://www.linkedin.com/in/augustusloi,https://engiefactory.com,http://www.linkedin.com/company/engiefactory,,,United States,Singapore,3,14,"PHNXX, Verta Bioenergy, Polar Cold, ARQ Energy, ORkA","Seed,Venture",
Jeff,Clavier,Founder and Managing Partner,Uncork Capital,http://www.linkedin.com/in/jeffclavier,https://uncorkcapital.com,http://www.linkedin.com/company/uncorkcapital,Menlo Park,California,United States,United States,90,445,"Numeral, DroneDeploy, Koobz, Amperos Health, Wander","Debt,Early Stage Venture,Late Stage Venture,Seed,Venture","AI,SaaS,Software"
Kevin,O'Leary,Strategic Partner,O'Leary Ventures,http://www.linkedin.com/in/kevinolearytv,https://olearyventures.com,http://www.linkedin.com/company/o'leary-ventures,West Palm Beach,Florida,United States,United States,3,7,"FarmQA, Go To Green, Tavolo, Thread, Mysten Labs","Seed,Series A","Blockchain,Information Technology,Software"
Brett,Topche,Co-founder and Managing Director,Red and Blue Ventures,http://www.linkedin.com/in/bretttopche,https://redandblue.vc,http://www.linkedin.com/company/red-&-blue-ventures,Philadelphia,Pennsylvania,United States,United States,3,30,"Chef Robotics, Arya Health, MD Ally, Wonder, Shinkei Systems","Early Stage Venture,Late Stage Venture,Seed,Series A,Venture","Food And Beverage,Health Care,mHealth"
Nicole,Colindres,Chief of Staff to CEO,Banner Management,http://www.linkedin.com/in/nicolecolindres,https://bannercap.com,http://www.linkedin.com/company/banner-cap,Lehi,Utah,United States,United States,5,12,"Queen of Wraps, MANSCAPED, Oxygen Esports, Route, Premier Plastics","Private Equity,Series A,Series B,Series E",
Alex,Klimov,"Partner, CFO",D3 Home,http://www.linkedin.com/in/alex-klimov-%f0%9f%87%ba%f0%9f%87%a6-20a42b1b,https://d3.vc,http://www.linkedin.com/company/d3vc,Glendale,California,United States,,1,2,"Swarmer, Chariot Defense","Pre-Seed,Seed","Drone Management,Software"
David,Rodriguez,Co-Founder & Managing Partner,Draft Ventures,http://www.linkedin.com/in/davidjrodriguez,https://draftvc.com,http://www.linkedin.com/company/draft-ventures,Austin,Texas,United States,United States,1,33,"Function Health, Bitfinity Network, Jia, FinanEx, Composer","Early Stage Venture,Seed,Venture","Blockchain,Financial Services,Software"
Perry,Jacobson,Partner at Brookstone Venture Capital,Brookstone,http://www.linkedin.com/in/perry-jacobson-a10b96b,https://brookstonepartners.com,http://www.linkedin.com/company/brookstone-partners,Scottsdale,Arizona,United States,United States,2,3,"Soluna, FirstBest","Post-IPO Equity,Series B,Venture Round",
Mahdi,Raza,"Co-Founder, Managing Partner",Pathlight Ventures,http://www.linkedin.com/in/mahdirazany,https://pathlight.vc,http://www.linkedin.com/company/pathlightventures,New York,New York,United States,United States,7,43,"Volca, Ramp, Turnkey, Obvio, Paytient","Seed,Series A,Series B,Series C,Series D,Series E","AI,Internet,Software"
Joseph,Johnson,ceo,High Street Equity,http://www.linkedin.com/in/joseph-johnson-b0109147,https://highstreetequity.com,http://www.linkedin.com/company/high-street-equity-partners,New York,New York,United States,United States,1,7,"Campus Ink - NIL Store, Sober Sidekick, Spry, Boaz Bikes, ChargerHelp!","Early Stage Venture,Seed","Health Care,Information Technology,Software"
Marc,Villafuerte,Founder / CEO,Ripple Ventures,http://www.linkedin.com/in/marcadriel,https://rippleventures.com,http://www.linkedin.com/company/rippleventures,Irvine,California,United States,Canada,20,45,"Mycroft, Hyper, Asepha, Theo Ai, Page","Early Stage Venture,Seed,Venture","AI,SaaS,Software"
Spencer,Timm,Partner,Morgenthaler,http://www.linkedin.com/in/spencer-timm-40955b11,https://morgenthaler.com,http://www.linkedin.com/company/morgenthaler,,Massachusetts,United States,United States,64,354,"SetPoint Medical, Moximed, Relievant Medsystems","Early Stage Venture,Late Stage Venture,Private Equity,Venture",
